X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
3,4,sep,fri,93.3,141.2,713.9,13.9,18.6,49,3.6,0,35.88
4,3,mar,mon,87.6,52.2,103.8,5,11,46,5.8,0,36.85
2,2,jul,fri,88.3,150.3,309.9,6.8,13.4,79,3.6,0,37.02
7,4,sep,wed,90.1,82.9,735.7,6.2,15.4,57,4.5,0,37.71
4,4,sep,sun,93.5,149.3,728.6,8.1,22.9,39,4.9,0,48.55
7,5,oct,mon,91.7,48.5,696.1,11.1,16.1,44,4,0,49.37
8,6,aug,sat,92.2,81.8,480.8,11.9,20.1,34,4.5,0,58.3
4,6,sep,sun,93.5,149.3,728.6,8.1,28.3,26,3.1,0,64.1
8,6,aug,sat,92.2,81.8,480.8,11.9,16.4,43,4,0,71.3
4,4,sep,wed,92.9,133.3,699.6,9.2,26.4,21,4.5,0,88.49
