,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
495,6,6,aug,mon,96.2,175.5,661.8,16.8,23.9,42,2.2,0.0,0.0
285,2,5,jul,sun,93.9,169.7,411.8,12.3,23.4,40,6.3,0.0,0.0
482,3,4,aug,sun,94.9,130.3,587.1,14.1,23.4,40,5.8,0.0,1.29
150,6,5,jun,fri,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19
352,7,4,sep,fri,92.1,99.0,745.3,9.6,20.6,43,3.6,0.0,2.03
424,8,6,aug,sat,93.7,231.1,715.1,8.4,26.9,31,3.6,0.0,4.96
439,1,3,sep,fri,91.1,91.3,738.1,7.2,19.1,46,2.2,0.0,0.33
456,2,4,aug,thu,91.6,248.4,753.8,6.3,16.6,59,2.7,0.0,0.0
87,1,2,sep,thu,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0,0.0
303,3,6,jun,fri,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0.0
414,5,4,aug,sun,93.6,235.1,723.1,10.1,24.1,50,4.0,0.0,0.0
271,8,6,aug,tue,92.1,152.6,658.2,14.3,20.1,58,4.5,0.0,9.27
515,1,4,aug,sat,94.4,146.0,614.7,11.3,25.6,42,4.0,0.0,0.0
107,4,5,aug,sun,90.2,99.6,631.2,6.3,21.4,33,3.1,0.0,0.0
463,6,5,feb,tue,75.1,4.4,16.2,1.9,4.6,82,6.3,0.0,5.39
491,4,4,aug,thu,95.8,152.0,624.1,13.8,32.4,21,4.5,0.0,0.0
309,2,4,sep,sun,92.4,105.8,758.1,9.9,24.9,27,2.2,0.0,0.0
24,7,4,aug,sat,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0
210,4,4,oct,sat,90.6,43.7,686.9,6.7,18.4,25,3.1,0.0,24.23
423,1,3,sep,sat,91.2,94.3,744.4,8.4,22.3,48,4.0,0.0,0.72
493,1,3,aug,fri,95.9,158.0,633.6,11.3,27.5,29,4.5,0.0,43.32
192,2,2,aug,tue,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,8.71
7,8,6,aug,mon,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0
346,1,4,sep,mon,91.5,130.1,807.1,7.5,21.3,35,2.2,0.0,28.19
111,3,4,mar,fri,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,0.0
278,4,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,22.03
392,1,3,sep,sun,91.0,276.3,825.1,7.1,21.9,43,4.0,0.0,70.76
356,4,4,sep,fri,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,1.26
65,2,2,aug,thu,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0.0
20,6,4,sep,tue,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0
155,7,4,aug,sun,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56
40,4,4,jul,tue,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0
455,3,4,jul,mon,94.6,160.0,567.2,16.7,17.9,48,2.7,0.0,0.0
311,6,3,sep,sun,92.4,105.8,758.1,9.9,24.8,28,1.8,0.0,14.29
300,6,5,jun,mon,90.4,93.3,298.1,7.5,20.7,25,4.9,0.0,0.0
194,2,2,aug,tue,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,10.01
26,7,4,sep,fri,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0
353,7,4,sep,fri,92.1,99.0,745.3,9.6,19.8,47,2.7,0.0,1.72
264,4,4,aug,fri,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0,6.54
139,1,4,sep,tue,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43
